slug_en,slug_ar,dir,label_en,label_ar,icon,avg_time_iso,steps_id,intro_ar
word-to-powerpoint,تحويل-ملف-وورد-بوربوينت,DOCX→PPT,Convert Word to PowerPoint,تحويل ملف وورد إلى بوربوينت,word-ppt.svg,PT30S,word_to_ppt,
powerpoint-to-video,تحويل-بوربوينت-إلى-فيديو,PPT→MP4,Convert PowerPoint to Video,تحويل بوربوينت إلى فيديو,ppt-video.svg,PT40S,ppt_to_video,
powerpoint-to-pdf,تحويل-بوربوينت-بي-دي-اف,PPT→PDF,Convert PowerPoint to PDF,تحويل بوربوينت الى بي دي اف,ppt-pdf.svg,PT25S,ppt_to_pdf,تحويل عروض بوربوينت إلى ملفات PDF عالية الدقة في ثوانٍ مباشرة من متصفحك، دون تسجيل أو تثبيت أي برامج إضافية، برنامج يدعم اللغة العربية بشكل كامل نحافظ على كل الخطوط والتنسيقات والرسومات داخل الشرائح، لتضمن نسخة مطابقة للعرض الأصلي تصلح للطباعة والمشاركة الرقمية بلا فقدان للجودة. يدعم الملفات الكبيرة حتى مئتي ميغابايت، ويتوافق مع جميع إصدارات PPT و PPTX على أنظمة ويندوز، ماك، أندرويد، و iOS بدون قيود.
pdf-to-powerpoint,تحويل-بي-دي-اف-بوربوينت,PDF→PPT,Convert PDF to PowerPoint,تحويل PDF إلى بوربوينت,pdf-ppt.svg,PT45S,pdf_to_ppt,
powerpoint-to-word,تحويل-البوربوينت-الى-وورد,PPT→DOCX,Convert PowerPoint to Word,تحويل البوربوينت إلى وورد,ppt-word.svg,PT40S,ppt_to_word,
excel-to-powerpoint,تحويل-اكسل-بوربوينت,XLSX→PPT,Convert Excel to PowerPoint,تحويل اكسل إلى بوربوينت,excel-ppt.svg,PT40S,excel_to_ppt,
powerpoint-to-google-slides,تحويل-بوربوينت-جوجل-سلايد,PPT→GSLIDES,Convert PowerPoint to Google Slides,تحويل بوربوينت إلى جوجل سلايد,ppt-gslides.svg,PT35S,ppt_to_gslides,
google-slides-to-powerpoint,تحويل-جوجل-سلايد-بوربوينت,GSLIDES→PPT,Convert Google Slides to PowerPoint,تحويل جوجل سلايد إلى بوربوينت,gslides-ppt.svg,PT30S,gslides_to_ppt,
powerpoint-to-jpeg,تحويل-بوربوينت-صور,PPT→JPG,Convert PowerPoint to Images,تحويل بوربوينت إلى صور,ppt-jpg.svg,PT25S,ppt_to_jpg,
ppt-to-video,تحويل-بوربوينت-فيديو,PPT→MP4,Convert PowerPoint to Video,تحويل بوربوينت إلى فيديو,ppt-video.svg,PT90S,ppt_to_video,
notion-to-powerpoint,تحويل-نوشن-بوربوينت,DOC→PPT,Convert Notion Page to PowerPoint,تحويل صفحة Notion إلى بوربوينت,default.svg,PT30S,notion_to_powerpoint,
syllabus-to-scorm,تحويل-منهج-سكورم,DOC→PPT,Convert Syllabus to SCORM,تحويل منهج إلى SCORM,default.svg,PT30S,syllabus_to_scorm,
course-to-quiz,تحويل-دورة-اختبار,DOC→PPT,Convert Course to Quiz,تحويل دورة إلى اختبار,default.svg,PT30S,course_to_quiz,
ppt-to-english,بوربوينت-إلى-انجليزي,DOC→PPT,Translate PPT to English,ترجمة بوربوينت إلى الإنجليزية,default.svg,PT30S,ppt_to_english,
training-manual-to-slides,تحويل-دليل-تدريب-شرائح,DOC→PPT,Training Manual to Slides,تحويل دليل تدريب إلى شرائح,default.svg,PT30S,training_manual_to_slides,
word-to-arabic-slides,تحويل-وورد-شرائح-عربي,DOC→PPT,Word to Arabic Slides,تحويل وورد إلى شرائح عربية,default.svg,PT30S,word_to_arabic_slides,
ppt-rtl-fix,تصحيح-بوربوينت-rtl,DOC→PPT,Fix RTL Slides,تصحيح تنسيق الشرائح من اليمين إلى اليسار,default.svg,PT30S,ppt_rtl_fix,
ppt-analytics,تحليلات-بوربوينت,DOC→PPT,PPT Usage Analytics,تحليلات استخدام بوربوينت,default.svg,PT30S,ppt_analytics,
google-doc-to-powerpoint,تحويل-مستند-جوجل-بوربوينت,DOC→PPT,Google Doc to PowerPoint,تحويل مستند جوجل إلى بوربوينت,default.svg,PT30S,google_doc_to_powerpoint,
ppt-ai-design,تصميم-بوربوينت-بالذكاء-الاصطناعي,DOC→PPT,AI PowerPoint Design,تصميم بوربوينت بالذكاء الاصطناعي,default.svg,PT30S,ppt_ai_design,
ppt-voiceover,تعليق-صوتي-بوربوينت,DOC→PPT,Add Voiceover to PPT,إضافة تعليق صوتي إلى بوربوينت,default.svg,PT30S,ppt_voiceover,
ppt-subtitles,ترجمة-شرائح,DOC→PPT,Add Subtitles to Slides,إضافة ترجمات إلى الشرائح,default.svg,PT30S,ppt_subtitles,
ppt-to-html5,بوربوينت-إلى-html5,DOC→PPT,Convert PPT to HTML5,تحويل بوربوينت إلى HTML5,default.svg,PT30S,ppt_to_html5,
ppt-to-google-slides,بوربوينت-إلى-جوجل-شرائح,DOC→PPT,Convert PPT to Google Slides,تحويل بوربوينت إلى جوجل شرائح,default.svg,PT30S,ppt_to_google_slides,
ppt-subtitle-ar,ترجمة-عربية-بوربوينت,DOC→PPT,Arabic Subtitles PPT,ترجمة عربية للشرائح,default.svg,PT30S,ppt_subtitle_ar,
ppt-subtitle-en,ترجمة-انجليزية-بوربوينت,DOC→PPT,English Subtitles PPT,ترجمة إنجليزية للشرائح,default.svg,PT30S,ppt_subtitle_en,
doc-ai-formatting,تنسيق-ملف-وورد-بالذكاء-الاصطناعي,DOC→DOC,Word Formatting with AI,تنسيق ملف وورد بالذكاء الاصطناعي,default.svg,PT30S,doc_ai_formatting,
ppt-ai-powerpoint,بوربوينت-بالذكاء-الاصطناعي,PPT→PPT,AI‑Powered PowerPoint,بوربوينت بالذكاء الاصطناعي,default.svg,PT30S,ppt_ai_powerpoint,
convert-pdf-to-powerpoint-with-ai,تحويل-pdf-إلى-بوربوينت-بالذكاء-الاصطناعي,PDF→PPT,Convert PDF to PowerPoint with AI,تحويل PDF إلى بوربوينت بالذكاء الاصطناعي,pdf-ppt.svg,PT35S,pdf_to_ppt,تحويل ملفات PDF إلى عروض بوربوينت قابلة للتعديل باستخدام الذكاء الاصطناعي في ثوانٍ فقط، مباشرة من متصفحك، دون الحاجة لتسجيل أو تثبيت أي برامج إضافية، مع دعم اللغة العربية بالكامل والاحتفاظ بكل الخطوط والصور والتنسيقات الأصلية والعناصر الرسومية داخل الشرائح لضمان نسخة مطابقة للأصل تصلح للعروض والتعديلات. تستوعب الخدمة الملفات الكبيرة حتى مئتي ميغابايت، وتتوافق مع جميع إصدارات PDF وPowerPoint على أنظمة ويندوز، ماك، أندرويد، وiOS بدون قيود.
convert-powerpoint-to-video-with-ai,تحويل-بوربوينت-إلى-فيديو-بالذكاء-الاصطناعي,PPT→MP4,Convert PowerPoint to Video with AI,تحويل بوربوينت إلى فيديو بالذكاء الاصطناعي,ppt-video.svg,PT40S,ppt_to_video,تحويل عروض بوربوينت إلى فيديو عالي الجودة باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مباشرة من متصفحك دون الحاجة لتسجيل أو تثبيت أي برامج إضافية. تدعم الخدمة اللغة العربية بالكامل مع الاحتفاظ بالتحولات والمؤثرات والرسوم المتحركة الأصلية داخل الشرائح لضمان تجربة مشاهدة سلسة ومطابقة للعرض الأصلي. تتوافق مع الملفات الكبيرة حتى 200 ميغابايت ومع جميع إصدارات PPT وPPTX على أنظمة ويندوز، ماك، أندرويد، وiOS بدون قيود.
create-powerpoint-with-ai,الذكاء-الاصطناعي-بوربوينت,AI→PPT,Create PowerPoint with AI,الذكاء الاصطناعي بوربوينت,ai-ppt.svg,PT30S,ai_powerpoint,انشئ عروض بوربوينت احترافية باستخدام الذكاء الاصطناعي في ثوانٍ فقط، مباشرة من متصفحك، دون الحاجة لتسجيل أو تثبيت أي برامج إضافية. يدعم توليد الشرائح باللغة العربية بالكامل مع تنسيق متقن تلقائيًا بناءً على محتوى النص أو الصور. يحتفظ بكل الخطوط والألوان والتخطيطات الأصلية مما يضمن نسخة مهنية جاهزة للطباعة أو المشاركة الرقمية. تدعم الخدمة الملفات الكبيرة حتى مئتي ميغابايت، وتعمل على جميع إصدارات PowerPoint على أنظمة ويندوز، ماك، أندرويد، وiOS بدون قيود.
rfp-to-ppt,تحويل-طلب-عرض-مقترح-إلى-شرائح,RFP→SLIDES,Convert RFP to Slides,تحويل طلب عرض مقترح إلى شرائح,ppt-rfp-slides.svg,PT45S,ppt_rfp_slides,تحويل مستند طلب عرض المقترح (RFP) إلى شرائح PowerPoint احترافية باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مباشرة من متصفحك دون الحاجة لتسجيل أو تثبيت أي برامج إضافية. يحافظ على التنسيق والعناوين والرسومات الأصلية لكل شريحة، ويوفر قوالب تصميم متعددة لتخصيص العرض حسب متطلباتك. يدعم المستندات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
ppt-to-rfp,تحويل-شرائح-الى-طلب-عرض-مقترح,PPT→RFP,Convert PPT to RFP,تحويل شرائح PowerPoint إلى طلب عرض مقترح,ppt-to-rfp.svg,PT45S,ppt_to_rfp,حوّل شرائح PowerPoint إلى مستند طلب عرض مقترح (RFP) احترافي باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مباشرةً من متصفحك دون الحاجة إلى تسجيل أو تثبيت أي برامج إضافية. يحافظ على التنسيق والعناوين والعناصر الأصلية ويقدم قوالب جاهزة ومتنوعة لتخصيص المستند حسب متطلبات المناقصة. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
ppt-to-html5-converter,تحويل-بوربوينت-إلى-html5,PPT→html5,Convert PowerPoint to html5,تحويل بوربوينت إلى html5,ppt-html5-convert.svg,PT30S,ppt_html5_convert,تحويل ملفات بوربوينت إلى محتوى html5 تفاعلي عالي الجودة باستخدام الذكاء الاصطناعي في ثوانٍ معدودة مباشرةً من متصفحك دون الحاجة إلى تسجيل أو تثبيت أي برامج إضافية، مع الحفاظ على الحركات والانتقالات والوسائط المضمنة. يدعم الملفات الكبيرة حتى 200 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-powerpoint-to-html-with-animation,تحويل-بوربوينت-إلى-html-مع-التحريك,PPT→HTML,Convert PowerPoint to HTML with Animation,تحويل بوربوينت إلى HTML مع التحريك,powerpoint-to-html.svg,PT40S,convert_powerpoint_to_html_with_animation,حوّل عروض PowerPoint إلى صفحات HTML تفاعلية مع التحريك تلقائيًا باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مباشرةً من متصفحك دون الحاجة لتسجيل أو تثبيت أي برامج إضافية. يحتفظ بكل الانتقالات والتأثيرات والرسوم المتحركة الأصلية ويسمح بالتضمين السلس في مواقع الويب أو النشر كعرض مستقل. يدعم الملفات كبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-powerpoint-to-url,تحويل-بوربوينت-إلى-رابط,PPT→URL,Convert PowerPoint to URL,تحويل بوربوينت إلى رابط,powerpoint-to-url.svg,PT30S,convert_powerpoint_to_url,حوّل عروض PowerPoint إلى رابط قابل للمشاركة على الويب باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مباشرةً من متصفحك دون الحاجة لتثبيت أي برامج إضافية. يتم تحويل العرض إلى صفحة قابلة للوصول عبر رابط فريد مع الحفاظ على التنسيق والتخطيط، ويُسهل التضمين أو الإرسال دون حاجة إلى تنزيل الملف. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
translate-powerpoint,ترجمة-ملف-بوربوينت,PPT→PPT,Translate PowerPoint,ترجمة ملف بوربوينت,translate.svg,PT30S,translate_powerpoint,ترجم محتوى عرض PowerPoint بالكامل إلى لغة أخرى باستخدام الذكاء الاصطناعي مباشرة من المتصفح بدون الحاجة لتثبيت أي برامج إضافية. يحافظ على التنسيق، والعناوين، والنصوص، والنُسق الأصلية لكل شريحة، ويدعم الترجمة بين العربية والإنجليزية ولغات أخرى مع ضبط الأسلوب والنبرة لتناسب الجمهور المستهدف. يدعم ملفات كبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
ppt-h5p-convert,تحويل-بوربوينت-إلى-h5p,PPT→H5P,Convert PowerPoint to H5P,تحويل بوربوينت إلى H5P,ppt-h5p-convert.svg,PT50S,ppt_h5p_convert,حوّل عروض PowerPoint إلى محتوى تفاعلي بصيغة H5P باستخدام الذكاء الاصطناعي مباشرة من المتصفح في ثوانٍ. يحافظ على بنية الشرائح والنصوص والصور ويضيف تفاعلية مثل الأسئلة، والأنشطة، والتحريك حسب نوع المحتوى المناسب. الناتج قابل للتضمين في أنظمة إدارة التعلم أو المواقع التعليمية، ويدعم ملفات كبيرة حتى 100 ميغابايت ويعمل على كافة أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
ppt-to-pdf,تحويل-بوربوينت-إلى-بي-دي-اف,PPT→PDF,Convert PowerPoint to PDF,تحويل بوربوينت إلى PDF,ppt-to-pdf.svg,PT25S,ppt_to_pdf,حوّل عروض PowerPoint إلى مستند PDF عالي الجودة باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مباشرةً من متصفحك دون الحاجة لتسجيل أو تثبيت أي برامج إضافية، مع الحفاظ على التنسيق والعناوين والصور الأصلية. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
pdf-to-ppt,تحويل-ملف-بي-دي-اف-إلى-بوربوينت,PDF→PPT,Convert PDF to PowerPoint,تحويل ملف بي دي اف إلى بوربوينت,pdf-to-ppt.svg,PT30S,pdf_to_ppt,حوّل مستند PDF إلى عرض PowerPoint قابل للتحرير باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مباشرةً من متصفحك. يحافظ على النصوص والصور والتنظيم الأصلي في الشرائح الجديدة، ويتيح لك تعديل العرض بكل سهولة. يدعم ملفات كبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-pdf-to-ppt,تحويل-ملف-pdf-إلى-بوربوينت,PDF→PPT,Convert PDF to PowerPoint,تحويل ملف PDF إلى بوربوينت,convert-pdf-to-ppt.svg,PT30S,convert_pdf_to_ppt,حوّل مستند PDF إلى شرائح PowerPoint باستخدام الذكاء الاصطناعي، مع الحفاظ على التنسيق الأصلي والرسومات والصور. يتيح لك إنشاء عرض تقديمي قابل للتعديل مباشرة من ملف PDF دون الحاجة لتثبيت أي برامج إضافية. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-pdf-to-ppt,تحويل-ملف-pdf-إلى-بوربوينت,PDF→PPT,Convert PDF to PowerPoint,تحويل ملف PDF إلى بوربوينت,convert-pdf-to-ppt.svg,PT30S,convert_pdf_to_ppt,حوّل مستند PDF إلى شرائح PowerPoint باستخدام الذكاء الاصطناعي، مع الحفاظ على التنسيق الأصلي والرسومات والصور. يتيح لك إنشاء عرض تقديمي قابل للتعديل مباشرة من ملف PDF دون الحاجة لتثبيت أي برامج إضافية. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-pdf-file-to-ppt,تحويل-ملف-pdf-إلى-بوربوينت,PDF→PPT,Convert PDF File to PowerPoint,تحويل ملف PDF إلى بوربوينت,convert-pdf-file-to-ppt.svg,PT30S,convert_pdf_file_to_ppt,حوّل ملف PDF إلى عرض PowerPoint باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مع الحفاظ على التنسيق والمحتوى الأصلي. يسمح لك بتحويل المستندات بشكل سريع ومباشر دون الحاجة إلى تثبيت أي برامج إضافية. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-pdf-into-ppt,تحويل-ملف-pdf-إلى-بوربوينت,PDF→PPT,Convert PDF into PowerPoint,تحويل ملف PDF إلى بوربوينت,convert-pdf-into-ppt.svg,PT30S,convert_pdf_into_ppt,حوّل ملف PDF إلى عرض بوربوينت مباشر، مع الحفاظ على التنسيق والنصوص والصور الأصلية في الشرائح. يمكنك من تعديل المحتوى بسهولة في PowerPoint بعد التحويل. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-pdf-ppt-to-ppt,تحويل-ملف-pdf-إلى-بوربوينت,PDF→PPT,Convert PDF PPT to PowerPoint,تحويل ملف PDF إلى بوربوينت,convert-pdf-ppt-to-ppt.svg,PT30S,convert_pdf_ppt_to_ppt,حوّل مستند PDF إلى عرض PowerPoint كامل مع الحفاظ على التنسيق الأصلي وتوزيع الشرائح. يمكن تعديل كل شريحة بشكل فردي بعد التحويل باستخدام PowerPoint. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-ppt-to-pdf-format,تحويل-بوربوينت-إلى-صيغة-بي-دي-اف,PPT→PDF,Convert PPT to PDF Format,تحويل بوربوينت إلى صيغة PDF,convert-ppt-to-pdf-format.svg,PT25S,convert_ppt_to_pdf_format,حوّل عروض PowerPoint إلى صيغة PDF عالية الجودة مع الحفاظ على التنسيق الأصلي للعناصر، النصوص، والصور في الشرائح. يتيح لك تحويل المستندات في ثوانٍ مباشرة من المتصفح دون الحاجة لتثبيت أي برامج إضافية. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
power-point-to-pdf-convert,تحويل-بوربوينت-إلى-بي-دي-اف,PowerPoint→PDF,PowerPoint to PDF Convert,تحويل بوربوينت إلى PDF,power-point-to-pdf-convert.svg,PT25S,power_point_to_pdf_convert,حوّل عروض PowerPoint إلى مستند PDF باستخدام الذكاء الاصطناعي في ثوانٍ معدودة، مع الحفاظ على التنسيق والنصوص والصور الأصلية. يمكنك تحويل العروض بشكل سريع دون الحاجة لتثبيت أي برامج إضافية. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-html-to-pptx,تحويل-إتش-تي-إم-إل-إلى-بوربوينت,HTML→PPTX,Convert HTML to PPTX,تحويل إتش تي إم إل إلى بوربوينت,convert-html-to-pptx.svg,PT40S,convert_html_to_pptx,حوّل صفحة HTML إلى عرض بوربوينت قابل للتعديل باستخدام الذكاء الاصطناعي، مع الحفاظ على النصوص والصور والتنظيم الأصلي. يمكنك تخصيص العرض بسهولة بعد التحويل دون الحاجة لتثبيت أي برامج إضافية. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
keynote-to-pptx,تحويل-كي نوت-إلى-بوربوينت,Keynote→PPTX,Convert Keynote to PPTX,تحويل كي نوت إلى بوربوينت,keynote-to-pptx.svg,PT35S,keynote_to_pptx,حوّل عروض Keynote إلى PowerPoint قابل للتعديل باستخدام الذكاء الاصطناعي، مع الحفاظ على التنسيق والنصوص والصور. يدعم التحويل السريع للشرائح مع إمكانية التعديل بسهولة. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
pptx-view-online,عرض-بوربوينت-أونلاين,PPTX→ONLINE,PPTX View Online,عرض بوربوينت أونلاين,pptx-view-online.svg,PT20S,pptx_view_online,اعرض عروض PowerPoint عبر الإنترنت مباشرة دون الحاجة لتثبيت أي برامج إضافية. يوفر لك هذا الخيار القدرة على مشاهدة العروض التقديمية بوضوح، مع الحفاظ على التنسيق والعناصر الأصلية. يعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
convert-image-to-pptx,تحويل-صورة-إلى-بوربوينت,IMAGE→PPTX,Convert Image to PPTX,تحويل صورة إلى بوربوينت,convert-image-to-pptx.svg,PT30S,convert_image_to_pptx,حوّل صورة إلى شريحة PowerPoint مع الحفاظ على دقتها وجودتها باستخدام الذكاء الاصطناعي. يمكنك تعديل الصورة والنصوص بشكل سهل بعد التحويل مباشرة من المتصفح. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
export-pptx-to-pdf,تصدير-بوربوينت-إلى-بي-دي-اف,PPTX→PDF,Export PPTX to PDF,تصدير بوربوينت إلى PDF,export-pptx-to-pdf.svg,PT25S,export_pptx_to_pdf,حوّل عروض PowerPoint إلى مستند PDF عالي الجودة مباشرة من المتصفح دون الحاجة لتثبيت أي برامج إضافية. يحافظ على التنسيق والنصوص والصور الأصلية في الشرائح. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
pdf-in-pptx-converter,تحويل-بي-دي-اف-إلى-بوربوينت,PDF→PPTX,PDF in PPTX Converter,تحويل بي دي اف إلى بوربوينت,pdf-in-pptx-converter.svg,PT30S,pdf_in_pptx_converter,حوّل مستند PDF إلى شرائح PowerPoint قابلة للتعديل باستخدام الذكاء الاصطناعي. يحافظ على التنسيق والنصوص والصور الأصلية في المستند أثناء تحويله إلى عرض بوربوينت قابل للتحرير. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
conversion-pptx-en-pdf,تحويل-بوربوينت-إلى-بي-دي-اف,PDF→PPTX,Conversion PPTX en PDF,تحويل بوربوينت إلى بي دي اف,conversion-pptx-en-pdf.svg,PT25S,conversion_pptx_en_pdf,حوّل عرض PowerPoint إلى مستند PDF عالي الجودة مع الحفاظ على التنسيق والنصوص الأصلية باستخدام الذكاء الاصطناعي في ثوانٍ معدودة. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
export-pptx-to-pdf,تصدير-بوربوينت-إلى-بي-دي-اف,PPTX→PDF,Export PPTX to PDF,تصدير بوربوينت إلى PDF,export-pptx-to-pdf.svg,PT25S,export_pptx_to_pdf,حوّل عروض PowerPoint إلى مستند PDF عالي الجودة مباشرة من المتصفح دون الحاجة لتثبيت أي برامج إضافية. يحافظ على التنسيق والنصوص والصور الأصلية في الشرائح. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل (ويندوز، ماك، أندرويد، iOS) بدون قيود.
pdf-to-slides-ai,تحويل-بي-دي-اف-إلى-شرائح-بالذكاء-الاصطناعي,PDF→PPT,PDF to Slides AI,تحويل PDF إلى شرائح بالذكاء الاصطناعي,pdf-slides-ai.svg,PT40S,pdf_to_slides_ai,حوّل مستند PDF إلى عرض شرائح احترافي باستخدام الذكاء الاصطناعي في ثوانٍ معدودة. يحلل المحتوى تلقائيًا ويُنشئ شرائح منسقة مع الحفاظ على النصوص والصور والتخطيط الأصلي. يدعم الملفات الكبيرة حتى 100 ميغابايت ويعمل على جميع أنظمة التشغيل بدون قيود.
